key,absorb,level,price,stock,str,tier,weight
<!MissingKey:0:5>,5,3,6,12,50,2,5
<!MissingKey:1:4>,4,6,8,8,25,3,2
<!MissingKey:2:4>,4,9,10,4,25,4,1
<!MissingKey:3:8>,8,9,10,4,75,4,6
<!MissingKey:4:3>,3,3,6,12,25,2,2
<!MissingKey:5:4>,4,3,6,12,30,2,4
<!MissingKey:6:2>,2,1,4,14,20,1,3
<!MissingKey:7:5>,5,3,6,12,50,2,5
<!MissingKey:8:4>,4,1,4,14,30,1,4
<!MissingKey:9:5>,5,9,10,4,30,4,2
<!MissingKey:10:3>,3,6,8,8,20,3,1
<!MissingKey:11:6>,6,6,8,8,45,3,5
<!MissingKey:12:7>,7,6,8,8,65,3,6
<!MissingKey:13:2>,2,1,4,14,20,1,3
<!MissingKey:14:4>,4,9,10,4,25,4,1
<!MissingKey:15:6>,6,6,8,8,45,3,5
<!MissingKey:16:6>,6,6,8,8,55,3,5
<!MissingKey:17:5>,5,6,8,8,30,3,3
<!MissingKey:18:4>,4,6,8,8,25,3,2
<!MissingKey:19:8>,8,9,10,4,65,4,6
<!MissingKey:20:4>,4,1,4,14,30,1,4
<!MissingKey:21:5>,5,6,8,8,30,3,3
<!MissingKey:22:2>,2,3,6,12,20,2,1
<!MissingKey:23:4>,4,3,6,12,30,2,4
<!MissingKey:24:8>,8,9,10,4,65,4,6
<!MissingKey:25:8>,8,9,10,4,65,4,6
<!MissingKey:26:2>,2,1,4,14,20,1,3
<!MissingKey:27:1>,1,1,4,14,15,1,1
<!MissingKey:28:2>,2,3,6,12,20,2,1
<!MissingKey:29:6>,6,9,10,4,35,4,3
<!MissingKey:30:2>,2,3,6,12,15,2,1
<!MissingKey:31:1>,1,1,4,14,10,1,1
<!MissingKey:32:3>,3,6,8,8,20,3,1
<!MissingKey:33:7>,7,6,8,8,65,3,6
<!MissingKey:34:2>,2,1,4,14,25,1,3
<!MissingKey:35:2>,2,1,4,14,25,1,3
<!MissingKey:36:2>,2,1,4,14,20,1,2
<!MissingKey:37:2>,2,3,6,12,15,2,1
<!MissingKey:38:1>,1,1,4,14,10,1,1
<!MissingKey:39:3>,3,6,8,8,20,3,1
<!MissingKey:40:9>,9,9,10,4,85,4,7
<!MissingKey:41:1>,1,1,4,14,10,1,1
<!MissingKey:42:3>,3,3,6,12,25,2,2
<!MissingKey:43:4>,4,3,6,12,40,2,4
<!MissingKey:44:4>,4,9,10,4,30,4,2
<!MissingKey:45:2>,2,1,4,14,20,1,2
<!MissingKey:46:4>,4,3,6,12,30,2,4
<!MissingKey:47:5>,5,9,10,4,25,4,1
<!MissingKey:48:6>,6,6,8,8,55,3,5
<!MissingKey:49:6>,6,9,10,4,35,4,3
<!MissingKey:50:1>,1,1,4,14,15,1,1
<!MissingKey:51:2>,2,3,6,12,15,2,1
<!MissingKey:52:4>,4,3,6,12,40,2,4
<!MissingKey:53:6>,6,6,8,8,45,3,5
<!MissingKey:54:9>,9,9,10,4,85,4,7
<!MissingKey:55:8>,8,9,10,4,75,4,6
