key,avg dps,crit,durability,level,max,min,price,skill,speed,stock,str,tier,tot,weight
<!MissingKey:0:8.97>,8.97,1.35,88,7,18,12,12,85,0.55,4,60,3,145,7
<!MissingKey:1:19.14>,19.14,1.35,92,7,40,24,18,60,0.55,4,105,3,165,16
<!MissingKey:2:8.93>,8.93,1.25,102,7,15,13,12,50,0.6,4,85,3,135,5
<!MissingKey:3:3.27>,3.27,1.45,32,1,13,2,4,55,0.4,8,35,1,90,5
<!MissingKey:4:8.62>,8.62,1.3,114,7,13,11,12,85,0.65,4,50,3,135,4
<!MissingKey:5:12.21>,12.21,1.3,150,10,18,16,16,110,0.65,2,60,4,170,4
<!MissingKey:6:12.58>,12.58,1.3,142,10,22,17,16,110,0.6,2,65,4,175,6
<!MissingKey:7:2.26>,2.26,1.25,50,1,4,3,4,55,0.6,8,30,1,85,2
<!MissingKey:8:5.2>,5.2,1.25,70,4,11,7,8,65,0.55,6,45,2,110,5
<!MissingKey:9:8.71>,8.71,1.3,106,7,16,11,12,85,0.6,4,55,3,140,6
<!MissingKey:10:15.16>,15.16,1.55,80,10,51,19,16,60,0.4,2,100,4,160,15
<!MissingKey:11:26.45>,26.45,1.3,152,10,46,36,24,80,0.6,2,115,4,195,15
<!MissingKey:12:2.97>,2.97,1.15,40,1,8,5,4,45,0.45,8,45,1,90,6
<!MissingKey:13:12.75>,12.75,1.25,138,10,22,18,16,65,0.6,2,105,4,170,5
<!MissingKey:14:19.94>,19.94,1.15,109,7,43,35,18,55,0.5,4,105,3,160,22
<!MissingKey:15:18.67>,18.67,1.35,114,7,28,24,18,60,0.65,4,95,3,155,8
<!MissingKey:16:13.8>,13.8,1.15,140,10,31,23,16,80,0.5,2,80,4,160,9
<!MissingKey:17:14.33>,14.33,1.9,86,10,42,10,16,90,0.45,2,70,4,160,8
<!MissingKey:18:11.55>,11.55,1.25,82,4,23,17,12,50,0.55,6,75,2,125,12
<!MissingKey:19:11.66>,11.66,1.3,70,4,28,16,12,45,0.5,6,85,2,130,14
<!MissingKey:20:6.1>,6.1,1.3,48,1,16,7,8,35,0.5,8,70,1,105,12
<!MissingKey:21:13.78>,13.78,1.3,114,10,30,22,16,70,0.5,2,115,4,185,11
<!MissingKey:22:2.6>,2.6,1.25,42,1,6,3,4,55,0.55,8,35,1,90,4
<!MissingKey:23:13.16>,13.16,1.35,124,10,26,18,16,115,0.55,2,70,4,185,7
<!MissingKey:24:12.27>,12.27,1.1,74,4,31,23,12,40,0.45,6,85,2,125,20
<!MissingKey:25:10.15>,10.15,1.75,68,7,30,8,12,80,0.45,4,60,3,140,7
<!MissingKey:26:28.47>,28.47,1.55,92,10,88,26,24,60,0.45,2,140,,200,30
<!MissingKey:27:6.06>,6.06,1.25,55,1,13,8,8,40,0.55,8,60,1,100,10
<!MissingKey:28:6.36>,6.36,1.1,52,1,17,11,8,30,0.45,8,75,1,105,18
<!MissingKey:29:5.43>,5.43,1.2,66,4,11,8,8,40,0.55,6,65,2,105,4
<!MissingKey:30:3.03>,3.03,1.25,36,1,9,4,4,30,0.45,8,65,1,95,7
<!MissingKey:31:9.28>,9.28,1.3,80,7,21,14,12,50,0.5,4,95,3,145,10
<!MissingKey:32:6.95>,6.95,1.35,38,1,24,9,8,35,0.4,8,80,,115,16
<!MissingKey:33:5.82>,5.82,1.6,50,4,21,5,8,65,0.4,6,45,2,110,6
<!MissingKey:34:10.89>,10.89,1.45,62,7,35,16,12,50,0.4,4,90,3,140,13
<!MissingKey:35:3.42>,3.42,1.1,38,1,10,7,4,30,0.4,8,60,1,90,8
<!MissingKey:36:5.71>,5.71,1.15,68,4,14,11,8,55,0.45,6,55,2,110,7
<!MissingKey:37:5.16>,5.16,1.25,76,4,9,7,8,65,0.6,6,40,2,105,3
<!MissingKey:38:5.41>,5.41,1.2,60,4,13,8,8,40,0.5,6,70,2,110,7
<!MissingKey:39:11.29>,11.29,1.3,78,4,19,16,12,50,0.6,6,70,2,120,7
<!MissingKey:40:5.3>,5.3,1.3,64,4,13,7,8,65,0.5,6,50,2,115,6
<!MissingKey:41:9.77>,9.77,1.1,94,7,25,18,12,55,0.45,4,85,3,140,12
<!MissingKey:42:12.99>,12.99,1.25,128,10,25,20,16,65,0.55,2,110,4,175,9
<!MissingKey:43:14.54>,14.54,1.1,130,10,36,28,16,65,0.45,2,105,4,170,14
<!MissingKey:44:27.61>,27.61,1.15,144,10,59,49,24,65,0.5,2,135,4,200,24
